order_item_id,order_id,product_id,quantity,unit_price,discount,line_total
1,1,109,1,120.46,0.0,120.46
2,1,69,1,98.08,0.0,98.08
3,2,154,1,24.87,4.97,19.9
4,2,133,2,133.69,0.0,267.38
5,2,116,3,110.39,0.0,331.17
6,3,125,3,44.98,0.0,134.94
7,3,136,2,40.9,0.0,81.8
8,4,195,1,107.29,0.0,107.29
9,4,119,1,55.3,8.29,47.01
10,5,194,2,27.84,0.0,55.68
11,5,76,2,199.58,19.96,359.24
12,6,114,2,41.3,0.0,82.6
13,6,190,3,181.96,0.0,545.88
14,7,119,1,55.3,0.0,55.3
15,7,125,3,44.98,0.0,134.94
16,7,100,3,21.05,0.0,63.15
17,7,39,3,17.17,0.0,51.51
18,8,88,2,99.65,0.0,199.3
19,8,76,2,199.58,39.92,319.32
20,8,123,1,1397.68,0.0,1397.68
21,8,75,3,84.21,0.0,252.63
22,9,165,3,177.24,0.0,531.72
23,9,166,2,13.46,2.69,21.54
24,10,189,1,184.72,0.0,184.72
25,10,93,1,125.34,0.0,125.34
26,10,165,3,177.24,0.0,531.72
27,11,138,1,134.25,0.0,134.25
28,11,146,1,26.94,0.0,26.94
29,11,49,1,151.84,0.0,151.84
30,12,7,1,62.17,0.0,62.17
31,12,112,2,1307.22,0.0,2614.44
32,12,155,2,40.86,0.0,81.72
33,12,173,1,1081.9,0.0,1081.9
34,13,165,1,177.24,0.0,177.24
35,13,3,2,143.82,0.0,287.64
36,14,177,2,44.04,4.4,79.28
37,14,113,3,42.06,0.0,126.18
38,15,47,2,140.74,0.0,281.48
39,16,22,1,150.56,15.06,135.5
40,16,26,1,16.69,0.0,16.69
41,17,49,1,151.84,22.78,129.06
42,17,111,3,15.42,0.0,46.26
43,17,194,2,27.84,4.18,47.32
44,18,35,3,1069.13,0.0,3207.39
45,18,10,2,163.86,16.39,294.94
46,18,85,1,124.56,18.68,105.88
47,19,75,2,84.21,0.0,168.42
48,19,127,3,88.32,0.0,264.96
49,19,102,3,64.56,0.0,193.68
50,20,165,1,177.24,0.0,177.24
51,20,100,2,21.05,0.0,42.1
52,20,57,2,61.56,0.0,123.12
53,21,45,3,20.48,0.0,61.44
54,21,109,1,120.46,0.0,120.46
55,22,77,1,36.47,0.0,36.47
56,22,12,3,1408.88,0.0,4226.64
57,22,144,3,18.09,0.0,54.27
58,22,176,2,95.47,0.0,190.94
59,22,52,1,19.86,0.0,19.86
60,22,28,1,18.09,0.0,18.09
61,23,183,2,1262.09,126.21,2271.76
62,23,148,1,114.23,0.0,114.23
63,24,98,3,141.67,0.0,425.01
64,24,138,3,134.25,26.85,322.2
65,25,128,2,136.26,0.0,272.52
66,26,155,3,40.86,0.0,122.58
67,27,69,1,98.08,0.0,98.08
68,27,108,3,128.99,0.0,386.97
69,27,9,1,596.89,0.0,596.89
70,28,53,2,17.28,0.0,34.56
71,28,58,2,99.7,0.0,199.4
72,28,96,2,175.12,26.27,297.7
73,28,42,2,86.01,17.2,137.62
74,29,79,3,103.09,0.0,309.27
75,29,183,3,1262.09,0.0,3786.27
76,29,98,2,141.67,0.0,283.34
77,30,72,2,119.2,0.0,238.4
78,30,3,3,143.82,0.0,431.46
79,30,108,1,128.99,25.8,103.19
80,30,93,2,125.34,0.0,250.68
81,31,195,1,107.29,0.0,107.29
82,32,55,1,64.75,0.0,64.75
83,32,122,1,194.38,38.88,155.5
84,32,69,3,98.08,0.0,294.24
85,33,25,1,647.97,0.0,647.97
86,33,92,2,17.32,2.6,29.44
87,33,48,3,38.52,5.78,98.22
88,34,172,3,18.21,2.73,46.44
89,35,30,2,184.84,27.73,314.22
90,35,37,3,356.55,0.0,1069.65
91,35,168,1,83.13,0.0,83.13
92,36,110,1,196.12,0.0,196.12
93,36,174,3,144.66,0.0,433.98
94,37,127,2,88.32,0.0,176.64
95,38,171,2,155.4,0.0,310.8
96,38,71,2,157.26,0.0,314.52
97,38,169,3,42.85,0.0,128.55
98,39,130,2,16.49,0.0,32.98
99,39,100,2,21.05,0.0,42.1
100,39,172,3,18.21,0.0,54.63
101,39,52,1,19.86,3.97,15.89
102,40,37,3,356.55,35.66,962.67
103,40,9,2,596.89,0.0,1193.78
104,40,88,3,99.65,0.0,298.95
105,41,1,1,91.51,0.0,91.51
106,41,88,1,99.65,0.0,99.65
107,42,119,3,55.3,8.29,141.03
108,42,93,2,125.34,0.0,250.68
109,43,21,3,48.66,0.0,145.98
110,44,67,3,139.5,0.0,418.5
111,44,33,2,141.55,0.0,283.1
112,44,157,3,99.21,0.0,297.63
113,44,35,1,1069.13,0.0,1069.13
114,45,161,3,187.26,0.0,561.78
115,45,108,3,128.99,19.35,328.92
116,46,152,2,17.34,0.0,34.68
117,46,50,3,189.45,0.0,568.35
118,46,37,1,356.55,0.0,356.55
119,46,195,3,107.29,0.0,321.87
120,47,64,3,166.05,0.0,498.15
121,48,31,1,165.81,0.0,165.81
122,48,29,2,30.09,0.0,60.18
123,49,34,1,637.65,0.0,637.65
124,49,119,3,55.3,0.0,165.9
125,50,177,2,44.04,0.0,88.08
